link;source;created;lastSeen
http://www.dr.dk/nyheder/indland/erhvervsskoler-med-paa-vognen-minister-tillader-studenterkoersel-alle;https://www.facebook.com/DRNyheder/;11/05/16 12:55;12/05/16 08:25
http://www.dr.dk/nyheder/indland/fagfolk-til-regeringen-demens-rammer-ogsaa-helt-ned-i-30-aars-alderen;https://www.facebook.com/DRNyheder/;09/05/16 04:45;09/05/16 17:25
http://www.dr.dk/nyheder/indland/fejl-i-anklageskrift-opgiver-anke-voldtaegtssag;https://www.facebook.com/DRNyheder/;18/05/16 13:55;19/05/16 09:05
http://www.dr.dk/nyheder/indland/fem-gode-raad-saadan-koeber-du-den-rigtige-drone;https://www.facebook.com/DRNyheder/;05/05/16 12:35;06/05/16 15:55
http://www.dr.dk/nyheder/indland/fisker-fik-et-kilo-ravklump-i-nettet;https://www.facebook.com/DRNyheder/;27/05/16 18:45;28/05/16 17:05
http://www.dr.dk/nyheder/indland/flere-sabbataar-hitter-igen-hos-studenter;https://www.facebook.com/DRNyheder/;26/05/16 11:25;27/05/16 08:15
http://www.dr.dk/nyheder/indland/flere-tusinder-doer-af-behandlingsfejl-i-danmark;https://www.facebook.com/DRNyheder/;29/05/16 06:45;30/05/16 04:55
http://www.dr.dk/nyheder/indland/flere-unge-kan-faa-mulighed-fedmeoperationer;https://www.facebook.com/DRNyheder/;24/05/16 05:55;25/05/16 04:35
http://www.dr.dk/nyheder/indland/flygtninge-far-med-storfamilie-mine-hustruer-maa-selv-soege-asyl;https://www.facebook.com/DRNyheder/;24/05/16 12:55;25/05/16 09:25
http://www.dr.dk/nyheder/indland/foerste-gang-i-13-aar-planeten-merkur-vandrer-hen-over-solskiven;https://www.facebook.com/DRNyheder/;09/05/16 05:05;09/05/16 17:55
http://www.dr.dk/nyheder/indland/foraarsvejr-giver-travlhed-i-storkerederne;https://www.facebook.com/DRNyheder/;21/05/16 19:55;23/05/16 04:55
http://www.dr.dk/nyheder/indland/fordobling-i-antal-boern-og-unge-der-faar-sovemedicin;https://www.facebook.com/DRNyheder/;06/05/16 09:45;07/05/16 09:35
http://www.dr.dk/nyheder/indland/forfatter-til-skjulte-penge-lukkede-pengeklubber-er-win-win-politikere-og;https://www.facebook.com/DRNyheder/;29/05/16 15:05;30/05/16 13:25
http://www.dr.dk/nyheder/indland/forliste-paa-oeresund-fire-asylansoegere-forsoegte-sejle-til-sverige;https://www.facebook.com/DRNyheder/;10/05/16 12:45;11/05/16 08:45
http://www.dr.dk/nyheder/indland/forslag-saet-bulldozere-ind-mod-motorvejskaos;https://www.facebook.com/DRNyheder/;23/05/16 05:25;24/05/16 04:45
http://www.dr.dk/nyheder/indland/forsvaret-holder-paa-hemmeligheden-om-mystisk-medalje;https://www.facebook.com/DRNyheder/;03/05/16 15:05;04/05/16 13:25
http://www.dr.dk/nyheder/indland/forvent-forsinkelser-togbusserne-fortsaetter-paa-fyn;https://www.facebook.com/DRNyheder/;16/05/16 18:45;17/05/16 16:15
http://www.dr.dk/nyheder/indland/fredspris-pioner-i-begyndelsen-grinede-de-af-mig-nu-kalder-de-mig-deres-moder;https://www.facebook.com/DRNyheder/;19/05/16 15:25;20/05/16 10:45
http://www.dr.dk/nyheder/indland/fusk-med-eksamensbeviser-politiet-sigter-stor-gruppe-studerende;https://www.facebook.com/DRNyheder/;25/05/16 07:15;26/05/16 04:55
http://www.dr.dk/nyheder/indland/gal-ko-skabte-panik-paa-legeplads;https://www.facebook.com/DRNyheder/;16/05/16 06:45;17/05/16 06:35
http://www.dr.dk/nyheder/indland/gaseksplosion-i-boligblok-fire-er-kommet-til-skade;https://www.facebook.com/DRNyheder/;20/05/16 04:55;20/05/16 17:05
http://www.dr.dk/nyheder/indland/grafik-det-vidste-du-maaske-ikke-om-1-maj;https://www.facebook.com/DRNyheder/;01/05/16 09:15;02/05/16 09:25
http://www.dr.dk/nyheder/indland/grafik-fra-foedder-til-vinger-hurtigst-og-billigst-fra-aarhus-til-koebenhavn;https://www.facebook.com/DRNyheder/;17/05/16 19:35;18/05/16 18:05
http://www.dr.dk/nyheder/indland/grafik-her-er-kongehusets-favoritter;https://www.facebook.com/DRNyheder/;05/05/16 15:35;06/05/16 18:55
http://www.dr.dk/nyheder/indland/grafik-her-har-kvinder-haft-magten;https://www.facebook.com/DRNyheder/;16/05/16 07:15;17/05/16 07:15
http://www.dr.dk/nyheder/indland/grafik-i-aalborg-oest-doer-de-lige-saa-tidligt-som-i-pakistan;https://www.facebook.com/DRNyheder/;23/05/16 06:05;24/05/16 05:15
http://www.dr.dk/nyheder/indland/grafik-trods-gentagne-flystyrt-fly-er-den-sikreste-rejseform;https://www.facebook.com/DRNyheder/;20/05/16 05:05;20/05/16 18:15
http://www.dr.dk/nyheder/indland/grevinde-alexandra-stopper-som-protektor-unicef;https://www.facebook.com/DRNyheder/;19/05/16 11:25;20/05/16 06:55
http://www.dr.dk/nyheder/indland/guide-saadan-undgaar-du-luftforurening-i-dit-hjem;https://www.facebook.com/DRNyheder/;05/05/16 08:35;06/05/16 10:35
http://www.dr.dk/nyheder/indland/hold-nu-til-hoejre-f;https://www.facebook.com/DRNyheder/;30/05/16 07:45;30/05/16 21:15
http://www.dr.dk/nyheder/indland/hukommelsen-svigtede-hos-genoplivet-patient-i-sygeplejerske-sagen;https://www.facebook.com/DRNyheder/;02/05/16 16:35;03/05/16 13:55
http://www.dr.dk/nyheder/indland/hvert-sjette-barn-faar-lussinger-og-bliver-rusket;https://www.facebook.com/DRNyheder/;31/05/16 07:25;31/05/16 19:15
http://www.dr.dk/nyheder/indland/i-dag-fejrer-danmark-100-aar-med-dyrevaernslov;https://www.facebook.com/DRNyheder/;23/05/16 10:25;24/05/16 08:15
http://www.dr.dk/nyheder/indland/i-teltlejren-i-thisted-venter-de-og-de-venter;https://www.facebook.com/DRNyheder/;26/05/16 19:05;27/05/16 14:25
http://www.dr.dk/nyheder/indland/illegale-indvandrere-lever-et-liv-under-radaren;https://www.facebook.com/DRNyheder/;15/05/16 09:35;16/05/16 11:45
http://www.dr.dk/nyheder/indland/it-kaos-rammer-kraeftpatienter-i-hele-hovedstaden;https://www.facebook.com/DRNyheder/;03/05/16 10:55;04/05/16 08:55
http://www.dr.dk/nyheder/indland/jacob-brugte-privat-vagtlaege-der-var-ingen-ventetid;https://www.facebook.com/DRNyheder/;30/05/16 12:55;31/05/16 08:25
http://www.dr.dk/nyheder/indland/jagten-paa-tricktyve-er-blaest-i-gang-politiet-advarer-mod-hjaelpsomme-svindlere;https://www.facebook.com/DRNyheder/;24/05/16 15:55;25/05/16 13:05
http://www.dr.dk/nyheder/indland/johanne-schmidt-stopper-som-politisk-ordfoerer;https://www.facebook.com/DRNyheder/;04/05/16 07:15;04/05/16 19:45
http://www.dr.dk/nyheder/indland/kaempeboede-til-dansker-skyde-truet-and-i-new-zealand;https://www.facebook.com/DRNyheder/;06/05/16 12:25;07/05/16 12:15
http://www.dr.dk/nyheder/indland/kaloriemaerkning-paa-fastfood-faar-os-til-spise-mindre;https://www.facebook.com/DRNyheder/;06/05/16 11:55;07/05/16 11:45
http://www.dr.dk/nyheder/indland/kampagne-skal-bekaempe-daarlig-stil-paa-jernhesten;https://www.facebook.com/DRNyheder/;17/05/16 07:55;18/05/16 04:25
http://www.dr.dk/nyheder/indland/katolske-caritas-afskaf-au-pair-ordningen;https://www.facebook.com/DRNyheder/;17/05/16 04:45;17/05/16 17:55
http://www.dr.dk/nyheder/indland/knivvold-i-koebenhavn-paa-det-hoejeste-niveau-i-fem-aar;https://www.facebook.com/DRNyheder/;02/05/16 05:45;02/05/16 19:45
http://www.dr.dk/nyheder/indland/koebenhavn-er-som-stoevsuget-andelsboliger;https://www.facebook.com/DRNyheder/;02/05/16 08:05;03/05/16 06:05
http://www.dr.dk/nyheder/indland/kongehuset-om-apanagen-vi-forventer-kun-aarpenge-til-prins-christian;https://www.facebook.com/DRNyheder/;30/05/16 20:15;31/05/16 14:55
